"filename","band","tag","stage","first_set"
"logos/band_avenue_16.png","Avenue 16","other","Festplatz","2026-08-04 3:30 PM"
"logos/band_eliza_rush.png","Eliza Rush","other","Plaza Tropical","2026-08-04 4:00 PM"
"logos/band_kendal_conrad.png","Kendal Conrad","other","Main Street","2026-08-04 4:30 PM"
"logos/band_the_swell.png","The Swell","other","Community Stage","2026-08-04 4:30 PM"
"logos/band_wallace_tonight.png","Wallace, Tonight!","other","Zinzenplatz","2026-08-04 5:00 PM"
"logos/band_river_drivers.png","River Drivers","other","Liederplatz","2026-08-04 5:00 PM"
"logos/band_richard_stead.png","richard stead","other","Lyrikplatz","2026-08-04 5:00 PM"
"logos/band_honey_and_nutz_trio.png","Honey & Nutz Trio","other","Hotel Bethlehem","2026-08-04 5:30 PM"
"logos/band_marmalade.png","Marmalade","other","Plaza Tropical","2026-08-04 5:30 PM"
"logos/band_steve_walker.png","Steve Walker","other","Jazz Cabaret","2026-08-04 5:30 PM"
"logos/band_monocacy_brass.png","Monocacy Brass","other","Vesper Series","2026-08-04 5:30 PM"
"logos/band_infusion_the_bbraun_band.png","Infusion, the Bbraun Band","other","Americaplatz","2026-08-04 6:00 PM"
"logos/band_brody_schenk.png","Brody Schenk","other","Lyrikplatz","2026-08-04 6:00 PM"
"logos/band_agirl_and_aguy_band.png","aGirl & aGuy Band","other","Lagerplatz","2026-08-04 6:00 PM"
"logos/band_go_go_gadjet.png","Go Go Gadjet","other","Festplatz","2026-08-04 6:00 PM"
"logos/band_fig_for_a_kiss.png","Fig for a Kiss","other","Stadtplatz","2026-08-04 6:00 PM"
"logos/band_weird_al_yankovic_bigger_and_weirder_2026_tour.png","“Weird Al” Yankovic Bigger & Weirder 2026 Tour","other","Steel Stage","2026-08-04 6:00 PM"
"logos/band_doug_kaetz.png","Doug Kaetz","other","Lagerplatz","2026-08-04 7:00 PM"
"logos/band_the_muckers.png","The Muckers","other","Liederplatz","2026-08-04 7:00 PM"
"logos/band_ellery_collins.png","Ellery Collins","other","Lyrikplatz","2026-08-04 7:00 PM"
"logos/band_dj_jamal.png","DJ Jamal","other","Festplatz","2026-08-04 7:30 PM"
"logos/band_easy_honey.png","Easy Honey","other","Stadtplatz","2026-08-04 7:30 PM"
"logos/band_abstract_music_empire_presents_manifest_hb_and_friends.png","Abstract Music Empire presents: Manifest! HB and friends","other","Plaza Tropical","2026-08-04 7:30 PM"
